step,epoch,loss,eval_loss
700,0.7697594501718213,,0.6932448744773865
710,0.7807560137457045,0.6532,
710,0.7807560137457045,,0.6933877468109131
720,0.7917525773195876,0.6486,
720,0.7917525773195876,,0.6927909851074219
730,0.8027491408934708,0.6637,
730,0.8027491408934708,,0.6947846412658691
740,0.813745704467354,0.6199,
740,0.813745704467354,,0.6927481293678284
750,0.8247422680412371,0.6953,
750,0.8247422680412371,,0.6894555687904358
760,0.8357388316151203,0.6143,
760,0.8357388316151203,,0.6896927952766418
770,0.8467353951890034,0.6558,
770,0.8467353951890034,,0.6875810027122498
780,0.8577319587628865,0.6447,
780,0.8577319587628865,,0.6892156600952148
790,0.8687285223367698,0.7283,
790,0.8687285223367698,,0.688636064529419
800,0.8797250859106529,0.6773,
800,0.8797250859106529,,0.6871180534362793
810,0.8907216494845361,0.6397,
810,0.8907216494845361,,0.6869836449623108
820,0.9017182130584193,0.6354,
820,0.9017182130584193,,0.6871088147163391
830,0.9127147766323024,0.6575,
830,0.9127147766323024,,0.6875998377799988
840,0.9237113402061856,0.643,
840,0.9237113402061856,,0.6869597434997559
850,0.9347079037800687,0.6462,
850,0.9347079037800687,,0.6870202422142029
860,0.9457044673539519,0.7424,
860,0.9457044673539519,,0.6842536330223083
870,0.9567010309278351,0.6594,
870,0.9567010309278351,,0.6827757358551025
880,0.9676975945017182,0.5873,
880,0.9676975945017182,,0.6838462948799133
890,0.9786941580756013,0.651,
890,0.9786941580756013,,0.6853258013725281
900,0.9896907216494846,0.6982,
900,0.9896907216494846,,0.6816850304603577
910,1.0006872852233677,0.7564,
910,1.0006872852233677,,0.6824270486831665
920,1.0116838487972508,0.6337,
920,1.0116838487972508,,0.6813321709632874
930,1.022680412371134,0.6586,
930,1.022680412371134,,0.6821560263633728
940,1.0336769759450173,0.6578,
940,1.0336769759450173,,0.6819276213645935
950,1.0446735395189004,0.6051,
950,1.0446735395189004,,0.682744562625885
960,1.0556701030927835,0.5821,
960,1.0556701030927835,,0.678857147693634
970,1.0666666666666667,0.6235,
970,1.0666666666666667,,0.678729772567749
980,1.0776632302405498,0.5748,
