sh_budget,sh_results,sh_std,naive_budget,naive_results,naive_std,num_runs
210.0,0.9084681799203289,0.13601724819417296,480.0,0.9119672332295213,0.13950706740555172,100
468.0,0.9627623294293435,0.09532016450505379,960.0,0.9588050840700214,0.09621496882286507,100
690.0,0.982025414540344,0.07192694163232413,1440.0,0.9749050535390177,0.07801511158663174,100
972.0,0.9921613509123706,0.055171412416899865,1920.0,0.986196785100916,0.061643770793101016,100
1182.0,0.9972680907836986,0.04596629520790699,2400.0,0.9929597955771282,0.05282171548729022,100
1452.0,1.0016764408405558,0.041371533549498095,2880.0,0.996381026298593,0.04707768209795985,100
1662.0,1.0038232074954263,0.034679812397154654,3360.0,1.000496227305802,0.04169977534250951,100
1956.0,1.0052141843742322,0.03084008145030729,3840.0,1.0028213960750882,0.03625295334193841,100
2166.0,1.0071237600572316,0.02909211272474945,4320.0,1.0047992539720907,0.031387531803275394,100
2424.0,1.0086209818511516,0.027014598091332952,4800.0,1.0056368795162847,0.02989702295527714,100
2646.0,1.0100236620926801,0.02523445351424422,5280.0,1.0074064179686946,0.02764464431532232,100
2928.0,1.0105927947038404,0.02197295228537347,5760.0,1.0086229972564926,0.025236787983995333,100
3138.0,1.0130811383329572,0.02010380834096878,6240.0,1.0095942334002599,0.024363732232382092,100
3408.0,1.0144557047392513,0.016011556139232518,6720.0,1.0097616684938389,0.024108404495582613,100
3618.0,1.014970419635239,0.010959293184898146,7200.0,1.01049116103296,0.0224501306826314,100
,,,7680.0,1.0112168128231895,0.02041553242007065,100
,,,8160.0,1.0130717295413147,0.017755796141933223,100
,,,8640.0,1.0146284044809315,0.015173523733790883,100
,,,9120.0,1.0161162994469766,0.010527989332862586,100
,,,9600.0,1.0153160965615713,0.001265875527614878,100
