sh_budget,sh_results,sh_std,naive_budget,naive_results,naive_std
210.0,0.921264581801976,0.11227470838238829,480.0,0.9228345079437597,0.11140670347441646
468.0,0.9637629938075999,0.08042713933140806,960.0,0.9583424610195604,0.08340889609964511
690.0,0.9759687263763955,0.06543523116640182,1440.0,0.973407757288674,0.06687460211746536
972.0,0.9853009243811112,0.05404307918981292,1920.0,0.980234308590735,0.06086454825860086
1182.0,0.9909255956655428,0.04600803438272243,2400.0,0.9866721656459769,0.053653361109773166
1452.0,0.9959613908377597,0.039262402210052796,2880.0,0.9912980428747661,0.04619477632913033
1662.0,0.9970222036268868,0.03535377450127723,3360.0,0.9946599452522719,0.03928944006682059
1956.0,0.9998143019607074,0.029229224090343585,3840.0,0.9974894706445148,0.035665447290364485
2166.0,1.0009716083924372,0.026054508801934724,4320.0,0.9978218343953748,0.0328737717916035
2424.0,1.001521267541162,0.02331377468956441,4800.0,0.9999275591750456,0.0278678288277035
2646.0,1.002839371943645,0.02034502503890986,5280.0,1.0008237652054857,0.025386406467910648
2928.0,1.0027973586686167,0.01784908884646985,5760.0,1.0023044901524205,0.022532002291814745
3138.0,1.0038107030528347,0.015708582385554164,6240.0,1.0024912863249382,0.020679871631717854
3408.0,1.004807150900028,0.01261012468262147,6720.0,1.0027661482907646,0.018726083942704898
3618.0,1.0058683907526507,0.010648467178651954,7200.0,1.0028243370248913,0.016898969267414764
,,,7680.0,1.002949288693201,0.0148967513742944
,,,8160.0,1.0034799413614752,0.01346659355792939
,,,8640.0,1.0051126116237539,0.012259108506892212
,,,9120.0,1.0061750146648019,0.010189783817326969
,,,9600.0,1.0048878271764856,0.0002839988107576835
