step,epoch,loss,eval_loss
880,0.9676975945017182,,0.6862660646438599
900,0.9896907216494846,0.6778,
900,0.9896907216494846,,0.6843860149383545
920,1.0116838487972508,0.6996,
920,1.0116838487972508,,0.6853129863739014
940,1.0336769759450173,0.6651,
940,1.0336769759450173,,0.6848475337028503
960,1.0556701030927835,0.6017,
960,1.0556701030927835,,0.6841484308242798
980,1.0776632302405498,0.6062,
980,1.0776632302405498,,0.6820576786994934
1000,1.0996563573883162,0.6379,
1000,1.0996563573883162,,0.6813960671424866
1020,1.1216494845360825,0.6317,
1020,1.1216494845360825,,0.6803198456764221
1040,1.1436426116838487,0.6437,
1040,1.1436426116838487,,0.6801241040229797
1060,1.1656357388316152,0.6831,
1060,1.1656357388316152,,0.6810294389724731
1080,1.1876288659793814,0.6539,
1080,1.1876288659793814,,0.6783456802368164
1100,1.2096219931271477,0.6149,
1100,1.2096219931271477,,0.6771330833435059
1120,1.2316151202749142,0.6074,
1120,1.2316151202749142,,0.6753026247024536
1140,1.2536082474226804,0.5851,
1140,1.2536082474226804,,0.6761617064476013
1160,1.2756013745704466,0.6456,
1160,1.2756013745704466,,0.6766929626464844
1180,1.2975945017182131,0.6352,
1180,1.2975945017182131,,0.6758208274841309
1200,1.3195876288659794,0.6006,
1200,1.3195876288659794,,0.6745527386665344
1220,1.3415807560137458,0.5877,
1220,1.3415807560137458,,0.6730330586433411
1240,1.363573883161512,0.5776,
1240,1.363573883161512,,0.6725026369094849
1260,1.3855670103092783,0.6373,
1260,1.3855670103092783,,0.6728855967521667
1280,1.4075601374570446,0.6279,
1280,1.4075601374570446,,0.6721096634864807
1300,1.429553264604811,0.6178,
1300,1.429553264604811,,0.6702019572257996
1320,1.4515463917525773,0.6225,
1320,1.4515463917525773,,0.6705067753791809
1340,1.4735395189003437,0.6038,
1340,1.4735395189003437,,0.6691068410873413
1360,1.49553264604811,0.6285,
1360,1.49553264604811,,0.6666992902755737
1380,1.5175257731958762,0.6406,
1380,1.5175257731958762,,0.6664940118789673
1400,1.5395189003436425,0.6245,
1400,1.5395189003436425,,0.6660543084144592
1420,1.561512027491409,0.6264,
1420,1.561512027491409,,0.667786180973053
1440,1.5835051546391754,0.6124,
1440,1.5835051546391754,,0.6657232642173767
1460,1.6054982817869417,0.5933,
1460,1.6054982817869417,,0.6652495861053467
1480,1.627491408934708,0.5907,
1480,1.627491408934708,,0.6655856370925903
1500,1.6494845360824741,0.5771,
1500,1.6494845360824741,,0.6659911870956421
1520,1.6714776632302404,0.6178,
1520,1.6714776632302404,,0.6634913682937622
1540,1.6934707903780069,0.6114,
1540,1.6934707903780069,,0.6624982357025146
1560,1.7154639175257733,0.6171,
1560,1.7154639175257733,,0.6626280546188354
1580,1.7374570446735396,0.6399,
1580,1.7374570446735396,,0.6622347235679626
1600,1.7594501718213058,0.6117,
1600,1.7594501718213058,,0.6618602275848389
1620,1.781443298969072,0.5929,
1620,1.781443298969072,,0.6601041555404663
1640,1.8034364261168385,0.5936,
1640,1.8034364261168385,,0.6594105362892151
1660,1.8254295532646048,0.6185,
1660,1.8254295532646048,,0.6599205136299133
1680,1.8474226804123712,0.6318,
1680,1.8474226804123712,,0.6588016748428345
1700,1.8694158075601375,0.6199,
1700,1.8694158075601375,,0.6609005928039551
1720,1.8914089347079037,0.6543,
1720,1.8914089347079037,,0.6595295071601868
1740,1.91340206185567,0.6191,
1740,1.91340206185567,,0.6595914959907532
1760,1.9353951890034364,0.6179,
1760,1.9353951890034364,,0.6584144234657288
1780,1.957388316151203,0.5804,
1780,1.957388316151203,,0.6583552956581116
1800,1.9793814432989691,0.6046,
1800,1.9793814432989691,,0.6577465534210205
1820,2.0013745704467354,0.6274,
1820,2.0013745704467354,,0.657892107963562
1840,2.0233676975945016,0.606,
1840,2.0233676975945016,,0.6587957143783569
1860,2.045360824742268,0.5792,
1860,2.045360824742268,,0.6595966815948486
1880,2.0673539518900346,0.5924,
1880,2.0673539518900346,,0.6581860184669495
1900,2.089347079037801,0.5572,
1900,2.089347079037801,,0.6582126617431641
1920,2.111340206185567,0.6074,
1920,2.111340206185567,,0.6581257581710815
1940,2.1333333333333333,0.5772,
1940,2.1333333333333333,,0.6599627137184143
1960,2.1553264604810995,0.5981,
1960,2.1553264604810995,,0.6576866507530212
1980,2.177319587628866,0.5884,
1980,2.177319587628866,,0.6585378050804138
2000,2.1993127147766325,0.5661,
2000,2.1993127147766325,,0.6583247780799866
2020,2.2213058419243987,0.5404,
2020,2.2213058419243987,,0.657751739025116
2040,2.243298969072165,0.5849,
2040,2.243298969072165,,0.6569204926490784
2060,2.265292096219931,0.5585,
2060,2.265292096219931,,0.6568611860275269
2080,2.2872852233676975,0.6043,
2080,2.2872852233676975,,0.6565201282501221
2100,2.3092783505154637,0.5957,
2100,2.3092783505154637,,0.6571984887123108
2120,2.3312714776632304,0.5836,
2120,2.3312714776632304,,0.656134843826294
2140,2.3532646048109966,0.5935,
2140,2.3532646048109966,,0.6560841202735901
2160,2.375257731958763,0.5968,
2160,2.375257731958763,,0.6552581191062927
2180,2.397250859106529,0.5901,
2180,2.397250859106529,,0.6550514101982117
2200,2.4192439862542954,0.5959,
2200,2.4192439862542954,,0.655370831489563
2220,2.441237113402062,0.6022,
2220,2.441237113402062,,0.654843807220459
2240,2.4632302405498283,0.6115,
2240,2.4632302405498283,,0.6548534035682678
2260,2.4852233676975946,0.5967,
2260,2.4852233676975946,,0.6549503803253174
2280,2.507216494845361,0.6035,
2280,2.507216494845361,,0.6542778611183167
2300,2.529209621993127,0.584,
2300,2.529209621993127,,0.6544929146766663
2320,2.5512027491408933,0.5621,
2320,2.5512027491408933,,0.6547250747680664
2340,2.5731958762886595,0.6133,
2340,2.5731958762886595,,0.6546516418457031
